data	dumb1	ore_di_luce	dumb2
03/09/2017	10,804167	12,844320	
04/09/2017	10,804167	12,801457	
05/09/2017	10,804167	12,758471	
06/09/2017	10,804167	12,715368	
07/09/2017	10,804167	12,672155	
08/09/2017	10,804167	12,628837	
09/09/2017	10,804167	12,585418	
10/09/2017	10,804167	12,541905	
11/09/2017	10,804167	12,498302	
12/09/2017	10,804167	12,454614	
13/09/2017	10,804167	12,410846	
14/09/2017	10,804167	12,367005	
15/09/2017	10,804167	12,323094	
16/09/2017	10,804167	12,279120	
17/09/2017	10,804167	12,235089	
18/09/2017	10,804167	12,191006	
19/09/2017	10,804167	12,146877	
20/09/2017	10,804167	12,102707	
21/09/2017	10,804167	12,058502	
22/09/2017	10,804167	12,014267	
23/09/2017	10,804167	11,970009	
24/09/2017	10,804167	11,925732	
25/09/2017	10,804167	11,881443	
26/09/2017	10,804167	11,837147	
27/09/2017	10,804167	11,792849	
28/09/2017	10,804167	11,748557	
29/09/2017	10,804167	11,704274	
30/09/2017	10,804167	11,660008	
01/10/2017	10,804167	11,615764	
02/10/2017	10,804167	11,571547	
03/10/2017	10,804167	11,527364	
04/10/2017	10,804167	11,483219	
05/10/2017	10,804167	11,439120	
06/10/2017	10,804167	11,395071	
07/10/2017	10,804167	11,351077	
08/10/2017	10,804167	11,307145	
09/10/2017	10,804167	11,263280	
10/10/2017	10,804167	11,219489	
11/10/2017	10,804167	11,175778	
12/10/2017	10,804167	11,132155	
13/10/2017	10,804167	11,088627	
14/10/2017	10,804167	11,045202	
15/10/2017	10,804167	11,001890	
16/10/2017	10,804167	10,958699	
17/10/2017	10,804167	10,915638	
18/10/2017	10,804167	10,872717	
19/10/2017	10,804167	10,829946	
20/10/2017	10,804167	10,787335	
21/10/2017	10,804167	10,744895	
22/10/2017	10,804167	10,702637	
23/10/2017	10,804167	10,660573	
24/10/2017	10,804167	10,618715	
25/10/2017	10,804167	10,577075	
26/10/2017	10,804167	10,535665	
27/10/2017	10,804167	10,494499	
28/10/2017	10,804167	10,453591	
29/10/2017	10,804167	10,412954	
30/10/2017	10,804167	10,372601	
31/10/2017	10,804167	10,332549	
01/11/2017	10,804167	10,292810	
02/11/2017	10,804167	10,253400	
03/11/2017	10,804167	10,214335	
04/11/2017	10,804167	10,175628	
05/11/2017	10,804167	10,137296	
06/11/2017	10,804167	10,099354	
07/11/2017	10,804167	10,061817	
08/11/2017	10,804167	10,024704	
09/11/2017	10,804167	 9,988031	
10/11/2017	10,804167	 9,951817	
11/11/2017	10,804167	 9,916081	
12/11/2017	10,804167	 9,880841	
13/11/2017	10,804167	 9,846117	
14/11/2017	10,804167	 9,811928	
15/11/2017	10,804167	 9,778296	
16/11/2017	10,804167	 9,745240	
17/11/2017	10,804167	 9,712781	
18/11/2017	10,804167	 9,680940	
19/11/2017	10,804167	 9,649739	
20/11/2017	10,804167	 9,619199	
21/11/2017	10,804167	 9,589341	
22/11/2017	10,804167	 9,560188	
23/11/2017	10,804167	 9,531761	
24/11/2017	10,804167	 9,504083	
25/11/2017	10,804167	 9,477173	
26/11/2017	10,804167	 9,451056	
